"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV20"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-12",," 1706","0.00","0.0","3.0",,"36","21",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-13",," 0824","0.00","0.0","1.0",,"35","20",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-14",," 0348","0.00","0.0","0.0",,"39","24",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-15",," 1300","0.00","0.0","0.0",,"40","26",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-16",," 2236","0.32","3.4","0.0",,"35","26",,"    1",,,"    1",,,,"    1",,,,,,,,"    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-17",," 0118","0.16","0.0","2.0",,"44","34",,"    1",,,,,,,"    1",,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-18",," 0848","0.00","0.0","0.0",,"47","37",,,,,,,,,"    1",,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-19",," 1536","0.00","0.0","0.0",,"48","32",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-20",," 1206","0.00","0.0","0.0",,"44","32",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-21",," 1130","0.00","0.0","0.0",,"40","30",,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-22",," 1506","0.00","0.0","0.0",,"43","30",,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-23",," 0006","0.00","0.0","0.0",,"44","26",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-24",," 2042","0.00","0.0","0.0",,"56","33",,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-25",," 0018","0.00","0.0","0.0",,"40","26",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-26",," 1512","0.00","0.0","0.0",,"49","32",,,,,,,,,"    1",,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-27",," 1424","0.00","0.0","0.0",,"66","31",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-28",," 1242","0.00","0.0","0.0",,"80","47",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-29",," 0036","0.00","0.0","0.0",,"73","50",,,,,,,,,"    1",,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-30",," 1212","0.41","0.0","0.0",,"68","54",,"    1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-31",," 1130","0.04","0.0","0.0",,"63","51",,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-01",," 0000","0.00","0.0","0.0",,"68","48",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-02",," 1248","0.00","0.0","0.0",,"60","44",,,,,,,,,"    1",,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-03",," 2242","1.13","0.0","0.0",,"54","42",,"    1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-04",," 1924","0.55","0.0","0.0",,"77","49",,"    1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-05",," 1600","0.92","0.0","0.0",,"51","43",,"    1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-06",," 0812","0.00","0.0","0.0",,"52","37",,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-07",," 0912","0.00","0.0","0.0",,"65","42",,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-08",," 1536","0.00","0.0","0.0",,"66","46",,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-09",," 1448","0.00","0.0","0.0",,"52","39",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-10",," 0706","0.00","0.0","0.0",,"51","35",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-11",," 2154","0.00","0.0","0.0",,"60","33",,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-12",," 1206","0.00","0.0","0.0",,"79","54",,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-13",," 1824","0.00","0.0","0.0",,"77","48",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-14",," 1530","0.00","0.0","0.0",,"91","56",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-15",," 1606","0.00","0.0","0.0",,"88","61",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-16",,,"0.00","0.0","0.0",,"84","59",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-17",,,"0.00","0.0","0.0",,"85","54",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-18",," 0712","0.36","0.0","0.0",,"75","49",,"    1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-19",," 0012","0.00","0.0","0.0",,"62","40",,,,,,,,,,,,,,,,,,,,,,,
